Song ID,Metaphor,Interpretation,Source Domain,Target Domain
1,දෙනෙත් කවුලු හැර,ඇස් දෙක ඇර,දෙනෙත්,දෙනෙත් කවුලු
,අඳුරේ සීතල සලුව යටින්,මීදුම යටින්,මීදුම,සීතල සලුව
2,ආදරය සුන්දර වරදකි,ආදරය සුන්දරයි. විටක වරදකට පෙරලෙයි. මුලදී ආලය පෙන්නා එයම මහත් දුකක් බවට පත් කිරීම සුන්දර වරදකි,ආදරය,සුන්දර වරද
,ඉදුවර නුවන් දෑලේ,මහනෙල් මල් වගේ ඇස් වල බැල්ම,නුවන් දෑල,ඉදුවර නුවන් දෑල
,හද ස්වර තලා කම්පිත‍ වේවි,"මගේ හද කම්පනයෙන් නින්නාද දෙනවා, දුකින් තැලුනු මගේ හද  කම්පාවට පත්වෙලා",හද,හද ස්වර තලා
3,"ඔබේ ආදරේ, මිරිඟුවක් තනිකමක් විතරමයි",ඔබේ ආදරය ව්‍යාජ දෙයක්,ආදරය,"මිරිඟුව, තනිකම"
4,ආදරයේ උල්පත වූ අම්මා,ලෝකයේ තිබෙන්නා වටිනාම වස්තුව වන්නේ මවයි. එකී මවකගේ ආදරයට සමකළ හැකි අන් කිසිවක් මිහිපිට නොමැත,අම්මා,ආදරයේ උල්පත
5,ආදරේ මන්දිරේ,ආදරය නම් මන්දිරයේ,ආදරය,මන්දිරය
6,සුපුන් සඳ ඔබ තමයි මගේ,"ඔබ මගේ ලෝකය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ලඳ,බාදුරා මල
7,මධු බිදුවකි ආදරේ,ආදරය ඉතා මිහිරි දෙයකි,ආදරය,මධු බිදුව
8,ඇයගේ මුව කමලේ,මලක් මෙන් ලස්සන ඇගේ මුහුණ,ඇයගේ මුව,කමල
9,අහසයි ඔබ මට නිම් හිම් නොපෙනෙන,ඔබ මට ගොඩක් වටියි,ඔබ,අහස
,අගාත අඳුරක දොල රන් සිළුව ඔබයි,ඔබ මගේ අඳුරු ජීවිතේ දීප්තිමත් කරයි,ඔබ,අගාත අඳුරක දොල රන් සිළුව
10,නීල වරල,දිලිසෙන කොණ්ඩය,වරල,නීල වරල
,නිල් නෙත් යුග,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",නෙත් යුග,නිල් නෙත් යුග
,ඔබ මුළු ගමට මැණිකවේ,"ඔබ මුළු ගමම දීප්තිමත් කරයි, ඔබ මුළු ගමම සතුටු  කරවයි",ඔබ,මුළු ගමට මැණික
11,කළු‍වර ගෙදරට මිණි පහනක් වී,"මුළු ගෙදරම දීප්තිමත් කරයි, දුකින් පිරි මුළු ගෙදරම සතුටු  කරවයි",ඔබ,මිණි පහන
,දෙකම්මුලින් වට මුතු වට්ටිය නුඹගේ,මුතුවන් දිලිසෙන දත් පෙළ,දත් පෙළ,දෙකම්මුලින් වට මුතු වට්ටිය
12,අම්මා සඳකි,"මව සඳටද පියා හිරුටද දු දරුවන් ලෝකයටද උපමා කර ඇත.සැබැවින්ම සඳට ආලෝකය ලබාදෙන්නෙ හිරුය. නමුත් ලෝකයට දෘෂ්යමාන වන්නේ සඳුගේ ආලෝකය පමණි.එනම් පිය සෙනෙහස බොහො විට ගුප්ත,අදෘෂ්යමාන සෙනෙහසකි.දරුවන්ට දිස් වන්නේ මවගේ විවෘත වු සෙනෙහස පමණි.කෙසේ වුවත් ලෝකයෙ නැතිනම් දරුවන්ගේ පැවැත්මට හිරු සඳු දෙකේම සුසංයෝගය අත්‍යවශ්‍යය",අම්මා,සඳ
,මම ඒ ලොව හිරුය රිදී,"මව සඳටද පියා හිරුටද දු දරුවන් ලෝකයටද උපමා කර ඇත.සැබැවින්ම සඳට ආලෝකය ලබාදෙන්නෙ හිරුය. නමුත් ලෝකයට දෘෂ්යමාන වන්නේ සඳුගේ ආලෝකය පමණි.එනම් පිය සෙනෙහස බොහො විට ගුප්ත,අදෘෂ්යමාන සෙනෙහසකි.දරුවන්ට දිස් වන්නේ මවගේ විවෘත වු සෙනෙහස පමණි.කෙසේ වුවත් ලෝකයෙ නැතිනම් දරුවන්ගේ පැවැත්මට හිරු සඳු දෙකේම සුසංයෝගය අත්‍යවශ්‍යය",පියා,හිරු
,ඒ ඉර හඳෙන් ඔබේ ලෝකය එලිය වුනී,"මව සඳටද පියා හිරුටද දු දරුවන් ලෝකයටද උපමා කර ඇත.සැබැවින්ම සඳට ආලෝකය ලබාදෙන්නෙ හිරුය. නමුත් ලෝකයට දෘෂ්යමාන වන්නේ සඳුගේ ආලෝකය පමණි.එනම් පිය සෙනෙහස බොහො විට ගුප්ත,අදෘෂ්යමාන සෙනෙහසකි.දරුවන්ට දිස් වන්නේ මවගේ විවෘත වු සෙනෙහස පමණි.කෙසේ වුවත් ලෝකයෙ නැතිනම් දරුවන්ගේ පැවැත්මට හිරු සඳු දෙකේම සුසංයෝගය අත්‍යවශ්‍යය",දෙමව්පියන්,ඉර හඳ
,මහමෙරකට උසයි දරු පෙම හද පතුලේ,දරුවා ඉපදුන දා සිටම මවගේ පිටුපසින් ගොඩනැගුණු අද්වීතිය සෙවනැල්ල පියායි,දරු පෙම,මහමෙර
13,ස්වප්නයක්ද මේ තරම් පුදුමවූ ඔබේ අදරේ,"ඔයාගෙ ආදරේ මට පුදුමයක්, ඊටත් වඩා හීනයක්",ආදරය,ස්වප්නය
,"මධුවිතක්ද මේ තරම්, මධුරවූ ඔබේ අදරේ",ඔබගේ ආදරය මට ඉතා මිහිරි දෙයකි,ආදරය,මධුවිත
14,"දොලේ දියයි මට කෙතේ නිලයි, ගහ වැලේ මලයි මට අප්පච්චී",තමාගේ මුළු ජීවිතයම තම පියායි.එසේම තමාගේ වටිනාම වස්තුව තම පියායි,අප්පච්චී,"දොලේ දිය, කෙතේ නිල, ගහ වැලේ මල"
15,තව්තිසාවමයි මගේ කුඩා ගේ,මගේ කුඩා ගෙදර මට තව්තිසාව මෙන් සැප ගෙනදෙන තැනකි,ගෙදර,තව්තිසාව
16,ඉබි ගමනින්,ඉතා හෙමින්,ගමන,ඉබි ගමන
17,නෙලූ සුපෙම් කැටයම් හද පවුරැ තලාවේ,පවුරක ලීවා වගේ නොවේ සියලු සංස්කාරයෝ නැසෙනසුලුය,හදවත,පවුරැ තලාව
,මැකී ගියාදෝ කාලයේ වෙරළේ,හෙම්බත් වූ සංසාරය නමැති ජීවිතේ කාලය නමැති වෙරලේ ලීවාසේ,කාලය,වෙරළ
18,ඈ ස්වප්න මායාවකී,ඈ ව්‍යාජයි,ඇය,ස්වප්න මායාව
,ඇයයි නිල්ල මල් මාවතේ,ඇයයි මල් මාවත දිදුලවන්නි,ඇය,නිල්ල මල් මාවතේ
19,"රන් මසුරන් කිරි ගරුඬ තලාවක, හැලෙන හදින්",ඉතා හෙමින්,හඬ,රන් මසුරන් කිරි ගරුඬ තලාවක හැලෙන හඬ
20,මගෙ මල් කළඹ නුඹ,"මගේ ජීවිතය ලස්සන කරන, සුවදවත් කරන මල් කළඹ නුබයි",නුඹ,මල් කළඹ
21,සතුටයි සැපයි ඔබය මාගේ,ඔබ මාගේ වටිනාම වස්තුවයි,ඔබ,"සතුට, සැප"
22,ඇදුරුතුමියයි ප්‍රේමයේ ඔබ,මට ප්‍රේමය ඉගැන්වූයේ ඔබයි,ඔබ,ප්‍රේමයේ ඇදුරුතුමිය
23,ආලේ කුසුමෙන් මා හිත පිපිලා,ආදරය නම් මලෙන් මගේ හිත ප්‍රබෝදමත් වී ඇත,ආදරය,කුසුම
24,දැහැනකි ඔබ මගෙ හදවත බන්ධන,මගේ හදවත සිතන්නේ ඔබ ගැන පමණි,ඔබ,දැහැන
25,ඔබ මට මදාරා මලකිය පිය ලඳුනේ,ඔබ මට මදාරා මලක් මෙන් කලාතුරකින් හමුවූ ඉතා ලස්සන යුවතියකි,ලඳ,මදාරා මල
26,වස්තුව ඔබය පුතේ,මවකට වටිනාම වස්තුව තම පුතුයි,පුතා,වස්තුව
27,දෙවියොත් මගේ ආදර තාත්තයි,තමාගේ මුළු ජීවිතයම තම පියායි.එසේම තමාගේ වටිනාම වස්තුව තම පියායි,තාත්තා,දෙවියන්
28,දිගුනිල් වරලේ,දිග දිලිසෙන කොණ්ඩය,වරලස,දිගුනිල් වරලස
,නිළුපුල් නයනේ,"නිල් සහ දීප්තිමත්, දිලිසෙන ඇස්  දෙක",නයනය,නිළුපුල් නයනය
29,සංසාර ගිරි දුර්ගයේ,ගිරි දුර්ගයක් මෙන් දුෂ්කර සංසාරය,සංසාරය,ගිරි දුර්ගය
30,ලස්සනම සිහිනෙකි ඔයා,ඔබ මට ලබාගත නොහැකි දෙයකි,ඔබ,සිහිනය
31,දුවේ නුඹ මගෙ ප්‍රාණයයි,මගේ මුළු ජීවිතයම දුවේ නුඹයි. මගේ වටිනාම වස්තුව දුවේ නුඹයි,දුව,ප්‍රාණය
32,කසාදෙ නම් කසාය හරි තිත්ත බෙහෙතකි,කසාදෙ තිත්ත උනත් කසාය වැනි බෙහෙතකි. අමාරුවෙන් හරි බී ඉවසා සිටින්නෝ අවසානයේ සුවපත් වෙන්නෝය,කසාදය,තිත්ත බෙහෙත
33,මගේ ලොවට සඳ ඔබේ සිඟිති මුව,"ඔබේ සිනහව මගේ ලෝකය දීප්තිමත් කරයි, ඔබේ සිනහව මාව සතුටු  කරවයි",සිඟිති මුව,සඳ
34,දොළකී මේ ප්‍රීති ජීවිතේ,ජීවිතය දොළක් වගෙයි,ප්‍රීති ජීවිතේ,දොළ
35,ගලන ගඟකි ජීවිතේ,ජීවිතය ගලා යන ගඟක් වගේ. ආපසු හැරීමක් නැත,ජීවිතය,ගලන ගඟ
36,ඔබගෙ ජීවිතේ කතරකී වාලුකා,ඔබේ ජීවිතය වාලුකා කාන්තාරය මෙන් දුෂ්කර එකකි,ඔබගෙ ජීවිතය,වාලුකා කතර
37,ගමට කලින් හිරු මුළුතැන්ගෙට වඩනා,අප කාටත් කලින් අවදිවන්නී මවයි. ඈ අවදි වූ විගස දිවයන්නේ මුළුතැන්ගෙටයි. අවදි වී ආහාර පිසයි. දරුවන් පාසැල් යැවීමට අවශ්‍ය කටයුතු සුදානම් කරයි.මේ සියල්ලම සියල්ලම සිදු කරන්නේ ඇගේ අතිනි. හිරු යන්නෙන් සංකේතවත් කරනුයේ ඇගෙන් ලබනා ආලෝකයයි,මවගෙන් ලබනා ආලෝකය,හිරු
,නැණ මල්,බුද්ධිය නම් කුසුම,නැණ,මල්
,කලා වැවේ නිල් දියවර අපෙ අම්මා,"වැව යනු සංහල ගැමියාගේ ප්‍රාණය හා සමාන වස්තුවකි. ඒ නිසයි වැවට ගැමියන් දේවත්වයක් පවා ආරෝපණය කරනුයේ. මව ද කලා වැවේ නිල්වන් දියට සමාන කිරීමෙන් මව යනු අප සතු උතුම්ව වස්තුව වනවා යන්න අවධාරණය කරනවා පමණක් නොව, ඇයට දේවත්වයක් ද ආරෝපණය කරයි",අම්මා,කලා වැවේ නිල් දියවර
,සිත නෑ නිවන් දකින්නේ,සිතට විවේකයක්,සිතේ විවේකය,නිවන් දකිනවා
,ඇත් රැජිනියනේ,මව ඇත් රැජිනියකට සම කරයි.මන්ද අප දිවියේ සිටින දැවැනතම ශක්තිය මවයි,මව,ඇත් රැජිනිය
38,සදාතන ජීවය හදේ ඔබේ හසරැල්ලයි,ඔබේ සිනහව මගේ හදවත ජීවත් කරවයි,හදේ සදාතන ජීවය,ඔබේ හසරැල්ල
39,ගීතයක් උනා ඔබත් වේදනා මැවූ,ඔබ මට දුක් ගෙනදෙයි,ඔබ,වේදනා මැවූ ගීතය
40,හද මල් ගොමුවේ,හදවත නම් මල් ගොමුවේ,හදවත,මල් ගොමුව
41,ළඳේ නුඹයි මගෙ දුක් ගිනි නිවන්නී,නුඹයි මගේ දුක් නැති කරන්නී. නුඹයි මාව සතුටු කරන්නී,ලඳ,දුක් ගිනි නිවන්නී
,රෑන කිතුල් මල,දිගු කොණ්ඩය,දිගු කොණ්ඩය,රෑන කිතුල් මල
42,"ඈ පහනකී මා දිවිමගේ, එළිය දී  විහිදෙනා","ඇය මගේ ජීවිතය දීප්තිමත් කරයි, ඇය මාව සතුටු  කරවයි",ඇය,පහන
,"ඈ කුසුමකී මා දිවිමගේ, සුවඳ දී  විසිරෙනා","ඇය මගේ ජීවිතය ලස්සන කරයි, ඇය මගේ ජීවිතය සුවදවත් කරයි",ඇය,කුසුම
43,රෝස මලක පාට ගෑව ආකාසේ,රෝස පාට අහසේ ,රෝස පාට,රෝස මලක පාට
44,පහන ඔබය,"ඔබ මගේ ජීවිතය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ඔබ,පහන
,තරුව ඔබය,"ඔබ මගේ ජීවිතය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ඔබ,තරුව
,කුසුම ඔබය,"ඔබ මගේ ජීවිතය ලස්සන කරයි, ඔබ මගේ ජීවිතය සුවදවත් කරයි",ඔබ,කුසුම
45,ඔබේ නුවන් තරු එලියෙන්,ඔබේ දීප්තිමත් ඇස් දෙකේ දීප්තියෙන්,ඇස් දෙකේ දීප්තිය,නුවන් තරු එලිය
46,කදුළු එක්ක ගණුදෙනු කරනා,"කඳුලින් පිරුණු, දුකින් පිරුණු",දුක,කඳුළු එක්ක ගනුදෙනු කිරීම
47,ඔබ ය ප්‍රේම ප්‍රදීපේ,"ඔබ මගේ ජීවිතය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ඔබ,ප්‍රේම ප්‍රදීපේ
48,මා හදවත මල් ලොවක් කලා,"මගේ හදවත ලස්සන කලා, මගේ හදවත සුවදවත් කලා",හදවත,මල් ලොව
49,නෙත් යුග රන් තරු යුවල තමයි,දිලිසෙන ඇස් දෙක,නෙත් යුග,රන් තරු යුවල
50,නිවසේ බැබළෙන පහන ඔබයි,"ඔබ මුළු නිවසම දීප්තිමත් කරයි, ඔබ මුළු නිවසම සතුටු  කරවයි",ඔබ,පහන
51,අප යන මේ මඟ කළුගල් මතුවී,අපේ ගමනට බාධක පැමිණී,බාධක,කළුගල්
52,"කැටපත් පවුරකි ඔබෙ නෙත් යුග මට, ආදර ගී පදවැල් රඳනා",ආදර ගී පදවැල් ඇති කැටපත් පවුරක් මෙන් ඔබේ ඇස දෙක මට බොහෝ දේ පවසයි,නෙත් යුග,කැටපත් පවුර
53,රිදී ඉරකි ඔබ මාගේ අඳුරු ජීවිතේ,ඔබ මගේ අඳුරු ජීවිතේ දීප්තිමත් කරයි,ඔබ,රිදී ඉර
54,කවිය ඔබ,ඔබ මට බොහෝ දේ පවසන කවියක් වගෙයි,ඔබ,කවිය
55,"මද සුළගේ ඔහෙ සැලෙනා, තනිවුන කුසුමකි මා",මම සුළගට ඔහේ වැනෙන තනිවුන මලක් වගේ,මම,තනිවුන කුසුම
56,ඉගෙනීම ඔබගේ ධනයයි,ඉගෙනීම ඔබට ඉතා වටිනා දෙයකි,ඉගෙනීම,ධනය
57,මලක මෙලෙක තිබුනු හදක් ගලක් කලේ ඇයි,මලක් මෙන් මෙලෙක්ව තිබු හදවත ගලක් මෙන් දැඩි කලේ ඇයි,හදවත,ගල
58,ඔබ වේ මගේ හද මන්දිරේ රැජිණී ප්‍රියේ,මගේ හදවත නම් මන්දිරයේ රැජින ඔබයි,හදවත,මන්දිරය
59,සේපාලිකා මල් බිමට බැහැලා ඇවිදින්න යන වෙලාවයි,රැයේ සොඳුරුතම මොහොතේ ඇති මිහිරියාව. මේ මොහොතේ සේපාලිකා මල් පවා බිමට බැස ඇත. ඔවුන්ට ඇවිදයන්නට කාගෙන් නම් තහංචිද? ,රාත්‍රී කාලය,සේපාලිකා මල් බිමට බැහැලා ඇවිදින්න යන වෙලාව
,නිල් තාරුකා බිම බලාගෙන වැව් දියට පෙම් බැඳි වෙලාවයි,තාරකාවන්හි ඡායාව වැව් දියට වැටී ඇත. ඒ දෙස බලන්නකුට පෙනෙනුයේ වැව් පතුලේ තාරකා ඇති බවකි,රාත්‍රී කාලය,තාරකාවන්හි ඡායාව වැව් දියට වැටෙන වේලාව
60,මීදුම් සේලෙන්,සුදු සේලයක් වන මීදුම,මීදුම,මීදුම් සේලය
61,මගේ පුංචි රෝස මලේ ,නුඹ රෝස මලක් මෙන් ලස්සනයි,නුඹ,රෝස මල
,මමයි නුඹේ වියපත් බඹරා,මම ඔබ  ගැන ආදරයක් ඇතිවූ ඔබට වඩා වයසින් වැඩි කෙනෙකි,මම,වියපත් බඹරා
62,මගේ සඳ ඔබ,"ඔබ මගේ ලෝකය දීප්තිමත් කරයි, ඔබ මාව සතුටු  කරවයි",ඔබ,සඳ
63,කුසුමක් පිබිදී ඇතත් සිතේ,සිතේ ආදරය නම් කුසුමක් පිපී ඇතත්,ආදරය,කුසුම
64,"දිය පාරක් වී බැස යන කල වන පෙතේ, මම කුඹුක් ගසක් වෙමි ඉවුරෙහි පිය කතේ",ඔබ දිය පහරක් වී ගල යන විට මම ඉවුර දෙපස ඇති කුඹුක් ගසක් වී ඔබව ආරක්ෂා කරන්නම්,මම,කුඹුක් ගස
65,මහද නමැති වන බඹරා,හදවත නමැති වන බඹරා,හදවත,වන බඹරා
66,"ජීවිතේ විසල් නදී තෙරේ, තුරු හිසත් මලත් ඔබයි මගේ","ඔබ මගේ ජීවිතය ලස්සන කරන මලයි, ඔබ මගේ ජීවිතයට හෙවණ දෙන තුරු සෙවණයි",ඔබ,"තුරු හිස, මල"
67,ජීවිත උයනේ මල් පිපිලා,ජීවිතය නම් උයනේ මල් පිපී ලස්සන වී ඇත,ජීවිතය,උයන
68,මල් යහනාවකි ලෝකේ,ලෝකය මල් යහනාවක් මෙන් ලස්සන තැනකි,ලෝකය,මල් යහනාව
,ජීවය තණ අග පිණි බිඳකී,ජීවිතය තණ අග රැදුණු පිණි බිඳක් මෙන් ඉතා අවිනිශ්චිත දෙයකි,ජීවය,තණ අග පිණි බිඳක්
,නිල් නෙත්මිණි පහනේ රන් කාන්තිය  පාවේ,නිල් සහ දීප්තිමත් ඇස දෙකී දීප්තිය විහිදේ,නෙත්,නිල් නෙත්මිණි පහන
